dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
BLE_RSSI_dataset_for_Indoor_localization,7987,1997,3,3,0.7315973960941412,0.7305746545419513,0.6559545574679414,11.530553817749023,6.9511096477508545,ok,
BNG(cmc),44236,11060,9,3,0.5346292947558771,0.5079379027363655,0.961833619959366,0.6638915538787842,35.18509578704834,ok,
Employee,3722,931,8,2,0.8313641245972073,0.8217459367674105,0.38696252155302696,0.30531954765319824,1.1505489349365234,ok,
FOREX_audcad-day-High,1467,367,10,2,0.6076294277929155,0.5966615416940424,0.6746085228145494,0.31229281425476074,0.4097447395324707,ok,
FOREX_audcad-hour-High,35060,8765,10,2,0.5429549343981745,0.4812170603131949,0.6877958094569427,0.4693465232849121,23.823667287826538,ok,
FOREX_audsgd-hour-High,35060,8765,10,2,0.5373645179691957,0.49879244925606403,0.690048323982236,0.4759831428527832,23.743582725524902,ok,
Firm-Teacher_Clave-Direction_Classification,8640,2160,16,4,0.7472222222222222,0.6627260409827007,0.7306708472022552,0.33499884605407715,3.3636507987976074,ok,
GesturePhaseSegmentationProcessed,7898,1975,32,5,0.4749367088607595,0.36915679876468166,1.2582232009524714,0.3883202075958252,4.629967927932739,ok,
IBM_HR_Analytics_Employee_Attrition_and_Performance,1176,294,31,2,0.8401360544217688,0.7671482641115596,0.3836006183909781,0.40163397789001465,0.7128913402557373,ok,
INNHotelsGroup,29020,7255,17,2,0.8537560303239146,0.8481823488586236,0.36909633003011905,0.4992396831512451,18.197855949401855,ok,
delta_ailerons,5703,1426,5,2,0.923562412342216,0.9233619604454956,0.22113084631812632,0.31575608253479004,1.9744653701782227,ok,
dna,2548,638,180,3,0.8761755485893417,0.8729440708319953,0.42613297647201526,0.5075016021728516,14.747432947158813,ok,
ibm-employee-performance,1176,294,30,2,0.8605442176870748,0.8075044489038659,0.293179986295271,0.36327052116394043,7.159290790557861,ok,
jungle_chess_2pcs_raw_endgame_complete,35855,8964,6,3,0.7724230254350736,0.7439917312993196,0.5826292707605529,0.384998083114624,40.21996760368347,ok,
pc3,1250,313,37,2,0.9009584664536742,0.8570277336016067,0.2760410375996661,0.31865906715393066,0.6424362659454346,ok,
pol,8065,2017,26,2,0.9434804164600893,0.9434766373728908,0.1560917782366857,0.34891629219055176,3.50533390045166,ok,
sports_articles_for_objectivity_analysis,800,200,59,2,0.825,0.8235863523097566,0.43731645435152466,0.3265538215637207,0.5791716575622559,ok,
steel_plates_faults,1552,389,27,7,0.699228791773779,0.6805342451061831,0.7280603575943265,0.3020598888397217,0.6428601741790771,ok,
telco-customer-churn,5634,1409,18,2,0.7799858055358411,0.7601911410245826,0.44399192802841647,0.34328484535217285,1.9001502990722656,ok,
thyroid-dis,2240,560,26,5,0.6446428571428572,0.5945003923934892,0.8622059789993605,0.434694766998291,0.8952968120574951,ok,
wall-robot-navigation,4364,1092,24,4,0.9404761904761905,0.9404819235676416,0.18213250522608687,0.3235790729522705,1.650130271911621,ok,
waveform_database_generator_version_1,4000,1000,21,3,0.746,0.7417628694073632,0.6501563897480536,0.3160135746002197,1.417748212814331,ok,
