dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
SDSS17,80000,20000,12,3,0.96425,0.9640702132667244,0.12153542414484186,11.372901201248169,103.75681042671204,ok,
JapaneseVowels,7968,1993,14,9,0.9889613647767185,0.9889136490882356,0.0510008849135443,0.32583022117614746,2.671344757080078,ok,
MagicTelescope,15216,3804,9,2,0.8730283911671924,0.8698707914782562,0.31181317246939244,0.3213505744934082,5.378310441970825,ok,
UJI_Pen_Characters,1091,273,80,35,0.4175824175824176,0.3815232889334384,2.4421189855117214,0.2964208126068115,2.920907497406006,ok,
allrep,3017,755,29,4,0.9668874172185431,0.9506098512721028,0.09935952439499249,0.2887296676635742,1.26338529586792,ok,
cmc,1178,295,9,3,0.5796610169491525,0.5739323373393316,0.8875201336832381,0.2593975067138672,0.3202781677246094,ok,
contraceptive_method_choice,1178,295,9,3,0.5864406779661017,0.5795187593277881,0.8557067994474028,0.26363515853881836,0.3212118148803711,ok,
delta_ailerons,5703,1426,5,2,0.9481065918653576,0.9480869036151094,0.17394086678169637,0.2714698314666748,0.8602986335754395,ok,
dna,2548,638,180,3,0.5188087774294671,0.35443902028721075,0.820676024508099,0.6224238872528076,4.448898792266846,ok,
eye_movements_bin,6086,1522,20,2,0.5854139290407359,0.5852834172872347,0.6779928013804056,0.3242161273956299,2.167999267578125,ok,
gas-drift,11128,2782,128,6,0.9942487419122933,0.9942528771912404,0.04399424278065748,0.9542012214660645,14.864924430847168,ok,
kr-vs-k,22444,5612,6,18,0.5664647184604419,0.5465995995084848,1.2859867699885759,0.33408427238464355,30.083833932876587,ok,
one-hundred-plants-margin,1280,320,64,100,0.821875,0.819713428932179,1.613302622355476,0.4643840789794922,4.673013925552368,ok,
optdigits,4496,1124,64,10,0.9635231316725978,0.96361340585788,0.3990355940447438,0.37665581703186035,3.1910688877105713,ok,
rice_cammeo_and_osmancik,3048,762,7,2,0.926509186351706,0.9263534425798021,0.19704040979786672,0.26178717613220215,0.6894347667694092,ok,
satimage,5144,1286,36,6,0.9027993779160186,0.8967773442915007,0.23540062020594216,0.33051609992980957,2.5103774070739746,ok,
statlog,800,200,20,2,0.74,0.7026810842838098,0.5156309852574854,0.2719442844390869,0.31622767448425293,ok,
sylvine,4099,1025,20,2,0.9287804878048781,0.9287699114651798,0.18967587959658858,0.2916531562805176,1.439955234527588,ok,
thyroid-ann,3017,755,21,3,0.9801324503311258,0.9790332784550896,0.04124220236042915,0.2803611755371094,1.1150407791137695,ok,
twonorm,5920,1480,20,2,0.9777027027027027,0.9777026721640237,0.08107271949576494,0.2990889549255371,2.0927202701568604,ok,
waveform_database_generator,3999,1000,21,3,0.34,0.17572775926576772,1.09871619978234,0.2928481101989746,1.4668657779693604,ok,
yeast,1187,297,8,10,0.5993265993265994,0.5877826361486492,1.0549340273509673,0.2596132755279541,0.31764817237854004,ok,
