benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
talent_cls,Click_prediction_small,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Click_prediction_small.csv,31958,7990,3,2,0.8321652065081352,0.7565614358353338,0.440657543485095,0.054903507232666,6.443442583084106,ok,
talent_cls,Customer_Personality_Analysis,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Customer_Personality_Analysis.csv,1792,448,24,2,0.8839285714285714,0.8718718945559047,0.2571017488051979,0.0353214740753173,0.8209178447723389,ok,
talent_cls,FOREX_audcad-hour-High,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,FOREX_audcad-hour-High.csv,35060,8765,10,2,0.708499714774672,0.7085600986609623,0.5635091142519825,0.1740014553070068,22.85650420188904,ok,
talent_cls,FOREX_cadjpy-day-High,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,FOREX_cadjpy-day-High.csv,1467,367,10,2,0.7220708446866485,0.7219841466435473,0.5740263932424808,0.0159332752227783,0.5429019927978516,ok,
talent_cls,Heart-Disease-Dataset-_Comprehensive,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Heart-Disease-Dataset-_Comprehensive.csv,952,238,11,2,0.9201680672268908,0.919959265310309,0.2484274769144968,0.0162811279296875,0.4365108013153076,ok,
talent_cls,KDDCup09_upselling,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,KDDCup09_upselling.csv,4102,1026,49,2,0.7797270955165692,0.779606501283148,0.4247551847520783,0.0964338779449462,2.9281792640686035,ok,
talent_cls,Performance-Prediction,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Performance-Prediction.csv,1072,268,19,2,0.7052238805970149,0.6998976573151806,0.5830800209815294,0.0256416797637939,0.5511939525604248,ok,
talent_cls,QSAR_biodegradation,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,QSAR_biodegradation.csv,843,211,41,2,0.8767772511848341,0.8758591800822104,0.2434256212860013,0.0381045341491699,0.663750410079956,ok,
talent_cls,Wilt,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Wilt.csv,3856,965,5,2,0.9823834196891192,0.9813943231704734,0.0452835311730646,0.018226146697998,0.6971180438995361,ok,
talent_cls,bank,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,bank.csv,36168,9043,16,2,0.9064469755612076,0.9005397368117205,0.1960513086660797,0.3177211284637451,26.364761352539062,ok,
