dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
dabetes_130-us_hospitals,81412,20354,20,2,0.6040581703841996,0.5640236623059369,0.6700631665311444,11.690989017486572,113.85347127914427,ok,
UJI_Pen_Characters,1091,273,80,35,0.2637362637362637,0.2580038364927989,2.9092842518584603,0.506324052810669,2.8201560974121094,ok,
autoUniv-au7-1100,880,220,12,5,0.3409090909090909,0.2751177352842624,1.521562933673046,0.3919134140014648,0.2802233695983886,ok,
cmc,1178,295,9,3,0.4949152542372881,0.4818959571501944,0.9456167174627348,0.3065481185913086,0.3144152164459228,ok,
contraceptive_method_choice,1178,295,9,3,0.5627118644067797,0.5472201711696594,0.91757625833552,0.3087010383605957,0.3126611709594726,ok,
default_of_credit_card_clients,24000,6000,23,2,0.7858333333333334,0.7027214104275928,0.4621607318866775,0.5563657283782959,13.920792818069458,ok,
ibm-employee-performance,1176,294,30,2,0.8469387755102041,0.7767504791972037,0.3521548342392547,0.3162758350372314,0.5387389659881592,ok,
in_vehicle_coupon_recommendation,10147,2537,21,2,0.5880961765865195,0.4764456394890211,0.6568477978259897,0.3971593379974365,3.9288887977600098,ok,
jm1,8708,2177,21,2,0.8112080845199816,0.7388268729371363,0.449652551793782,0.4784948825836181,3.2945806980133057,ok,
jungle_chess_2pcs_raw_endgame_complete,35855,8964,6,3,0.7632753235162874,0.7350585782154816,0.5705829160111477,0.3880970478057861,21.81113624572754,ok,
mfeat-karhunen,1600,400,64,10,0.795,0.794340370804107,1.752100924792092,0.342644453048706,1.140739679336548,ok,
mfeat-zernike,1600,400,47,10,0.68,0.6750149562109846,1.0818876251716592,0.3323583602905273,0.9033899307250975,ok,
microaggregation2,16000,4000,20,5,0.5615,0.4078043953223863,1.1214157947406664,0.4060304164886474,7.239561557769775,ok,
one-hundred-plants-texture,1279,320,64,100,0.784375,0.7713870851370851,2.2390117742205744,0.3476123809814453,4.214813470840454,ok,
ozone-level-8hr,2027,507,72,2,0.9368836291913216,0.9063538164274496,0.1832647833662935,0.3618707656860351,1.5983176231384275,ok,
phoneme,4323,1081,5,2,0.8529139685476411,0.8473129681206495,0.3554065712253576,0.294055700302124,0.6351401805877686,ok,
ringnorm,5920,1480,20,2,0.9662162162162162,0.9662001639797692,0.0956449043223852,0.4473669528961181,2.0818123817443848,ok,
spambase,3680,921,57,2,0.9305103148751356,0.9297353792718556,0.2322710005015686,0.3706834316253662,2.4058730602264404,ok,
texture,4400,1100,40,11,0.9136363636363636,0.9130746828637396,0.3537649187952435,0.356220006942749,6.822635173797607,ok,
Credit_c,80000,20000,22,3,0.61995,0.5816933300497235,0.7876498122758654,12.147414445877075,111.45656228065492,ok,
Pumpkin_Seeds,2000,500,12,2,0.876,0.875762807220588,0.3331514995310419,0.4002745151519775,0.5447893142700195,ok,
Telecom_Churn_Dataset,2666,667,17,2,0.8665667166416792,0.8212072832558991,0.3147236205551686,0.330467939376831,0.8810203075408936,ok,
Wilt,3856,965,5,2,0.955440414507772,0.9402475770365736,0.1136337797281127,0.2899057865142822,0.5693700313568115,ok,
ada_prior,3649,913,14,2,0.8225629791894852,0.8040550352585007,0.3966075386818274,0.3049049377441406,1.0864238739013672,ok,
analcatdata_authorship,672,169,69,4,0.8875739644970414,0.8845335737086519,0.4641562182628991,0.3278858661651611,0.5708577632904053,ok,
bank,36168,9043,16,2,0.8830034280659074,0.8281398136136093,0.310443137245416,0.5610203742980957,25.090282440185547,ok,
kc1,1687,422,21,2,0.8649289099526066,0.8308569425393248,0.3257066811247917,0.2894637584686279,0.602757453918457,ok,
kdd_ipums_la_97-small,4150,1038,20,2,0.8439306358381503,0.8418873175868814,0.3385270885547641,0.309985876083374,1.430549383163452,ok,
kropt,22444,5612,6,18,0.4490377761938702,0.4282904626250105,1.6722423205515788,0.4747514724731445,27.829005002975464,ok,
one-hundred-plants-shape,1280,320,64,100,0.546875,0.5177313311688312,1.7870667782176608,0.3326003551483154,4.332854509353638,ok,
optdigits,4496,1124,64,10,0.9403914590747332,0.940035770613008,0.796281915763227,0.3926060199737549,3.1563050746917725,ok,
qsar,844,211,40,2,0.8625592417061612,0.8593865057522623,0.3241041443419217,0.3136401176452636,0.4812016487121582,ok,
