dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
dabetes_130-us_hospitals,81412,20354,20,2,0.614866856637516,0.5959005649494739,0.6676153312473366,11.538649082183838,114.95728731155396,ok,
ada_agnostic,3649,913,48,2,0.7995618838992333,0.7568747749982828,0.43178085714566905,0.36804699897766113,2.088611364364624,ok,
banknote_authentication,1097,275,4,2,0.5236363636363637,0.46482055800044897,0.6876355745881004,0.257185697555542,0.13399982452392578,ok,
cmc,1178,295,9,3,0.5830508474576271,0.57204772588614,0.9047686858790647,0.27068614959716797,0.31209874153137207,ok,
compass,13315,3329,17,2,0.6725743466506459,0.6600685807081645,0.612742908218785,0.3506340980529785,5.182755708694458,ok,
electricity,36249,9063,8,2,0.7875979256316893,0.7849918218731721,0.45694425230337,0.43530893325805664,23.153451681137085,ok,
led24,2560,640,24,10,0.75,0.7479970572179209,0.9700927671601249,0.29659080505371094,0.9369416236877441,ok,
led7,2560,640,7,10,0.7296875,0.732358304907808,0.8377531245966701,0.2731964588165283,0.5574352741241455,ok,
letter,16000,4000,15,26,0.8955,0.8965053732704295,0.5761144665075048,0.37891697883605957,19.176129817962646,ok,
mozilla4,12436,3109,4,2,0.8916050176905758,0.8914263860414331,0.2840306161406949,0.30074286460876465,1.7416977882385254,ok,
national-longitudinal-survey-binary,3926,982,16,2,0.9775967413441955,0.9777139381466751,0.10144124469744603,0.3115706443786621,1.2451975345611572,ok,
okcupid_stem,21341,5336,13,3,0.7218890554722639,0.60780581169586,0.6510757491583823,0.4395897388458252,9.941810369491577,ok,
rl,3976,994,12,2,0.596579476861167,0.5434805266202046,0.6526300633228372,0.29726171493530273,1.0795400142669678,ok,
semeion,1274,319,256,10,0.890282131661442,0.8908451424417267,0.8273046540670005,0.5199854373931885,3.1398582458496094,ok,
thyroid,5760,1440,21,3,0.9777777777777777,0.9761925905896907,0.058594494664537686,0.3250160217285156,2.054102897644043,ok,
vehicle,676,170,18,4,0.8176470588235294,0.8140951343500362,0.3657903368649659,0.2877659797668457,0.2784230709075928,ok,
water_quality,6396,1600,20,2,0.89,0.8417244497188551,0.2735850728785338,0.31476378440856934,2.0757522583007812,ok,
wine,2043,511,4,2,0.7377690802348337,0.737007741271492,0.5466305549070043,0.28006625175476074,0.20719480514526367,ok,
wine-quality-white,3918,980,11,7,0.5673469387755102,0.5413342534853314,1.043445027861767,0.2970271110534668,1.055480718612671,ok,
