dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
Amazon_employee_access,26215,6554,7,2,0.9421727189502593,0.9141199684999374,0.2205768556349146,11.448745012283325,12.61355185508728,ok,
BNG(tic-tac-toe),31492,7874,9,2,0.7650495300990602,0.7469025817467649,0.5001612849116847,0.5571348667144775,17.883960247039795,ok,
Click_prediction_small,31958,7990,3,2,0.8315394242803504,0.755056435003232,0.4486522845103229,0.3489339351654053,6.276142358779907,ok,
Customer_Personality_Analysis,1792,448,24,2,0.8705357142857143,0.833621285602993,0.31772586655623297,0.3110213279724121,0.6695935726165771,ok,
E-CommereShippingData,8799,2200,10,2,0.6004545454545455,0.4800265052955054,0.6068422180394542,0.31777429580688477,2.5402817726135254,ok,
FOREX_audcad-day-High,1467,367,10,2,0.5204359673024523,0.4814230776663381,0.6906689796413343,0.2758162021636963,0.38666343688964844,ok,
FOREX_audcad-hour-High,35060,8765,10,2,0.5129492298916144,0.44385590127984087,0.6925710421782545,0.43976712226867676,21.98188042640686,ok,
FOREX_audsgd-hour-High,35060,8765,10,2,0.5257273245864232,0.4826014490090647,0.6916316803661303,0.46248579025268555,22.025182962417603,ok,
Firm-Teacher_Clave-Direction_Classification,8640,2160,16,4,0.7476851851851852,0.6630375333152406,0.6986697132918361,0.43323612213134766,2.9038615226745605,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,1280,320,20,2,0.521875,0.5218329736011954,0.693359455732647,0.2853860855102539,0.4431147575378418,ok,
Gender_Gap_in_Spanish_WP,3796,950,13,3,0.588421052631579,0.4359540999616337,0.8502816434056856,0.2888033390045166,1.1134636402130127,ok,
HR_Analytics_Job_Change_of_Data_Scientists,15326,3832,13,2,0.755741127348643,0.6696157075428883,0.4671624405875468,0.38787317276000977,5.986544370651245,ok,
Indian_pines,7315,1829,220,8,0.7599781301257518,0.7291809706488841,0.48530662372835554,0.8953094482421875,18.561423540115356,ok,
bank,36168,9043,16,2,0.8832245936083158,0.8286785895445308,0.3173294649252358,0.5686864852905273,25.159255027770996,ok,
kc1,1687,422,21,2,0.8601895734597157,0.8197212390265364,0.33797544480074565,0.2872002124786377,0.6054131984710693,ok,
kdd_ipums_la_97-small,4150,1038,20,2,0.8429672447013488,0.8390962442095894,0.3316083517701433,0.29900646209716797,1.4427995681762695,ok,
kropt,22444,5612,6,18,0.4871703492516037,0.4687754301360678,1.4847859411604238,0.35317540168762207,28.290854930877686,ok,
one-hundred-plants-shape,1280,320,64,100,0.578125,0.5521622474747475,1.8296413084066732,0.32658815383911133,4.366968393325806,ok,
optdigits,4496,1124,64,10,0.9653024911032029,0.9654335832174855,0.3239499632552909,0.38615894317626953,3.1536617279052734,ok,
qsar,844,211,40,2,0.8483412322274881,0.8444578728419538,0.34493369311326677,0.2952265739440918,0.48156261444091797,ok,
rl,3976,994,12,2,0.6448692152917505,0.6397053009883199,0.6210827505030129,0.2798919677734375,1.08512544631958,ok,
seismic+bumps,2067,517,18,2,0.9342359767891683,0.9024719535783365,0.2298435627131759,0.28014183044433594,0.6456272602081299,ok,
splice,2552,638,60,3,0.7021943573667712,0.6692554187095255,0.6560839991651619,0.3763396739959717,1.772202968597412,ok,
taiwanese_bankruptcy_prediction,5455,1364,95,2,0.967741935483871,0.9518773135906928,0.10278541494285813,0.5983860492706299,5.3293187618255615,ok,
website_phishing,1082,271,9,3,0.8819188191881919,0.8796983338174522,0.3034657238512016,0.2880220413208008,0.29376769065856934,ok,
wine-quality-red,1279,320,4,6,0.584375,0.5385288980025822,0.9689827814566817,0.2689015865325928,0.3020293712615967,ok,
