dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
volkert,46648,11662,180,10,0.4707597324644143,0.370105579732569,1.5300997444338955,14.215554237365723,103.43415594100952,ok,
INNHotelsGroup,29020,7255,17,2,0.8419021364576155,0.8318821242592745,0.3911955215832799,0.6067614555358887,17.495489835739136,ok,
delta_ailerons,5703,1426,5,2,0.9417952314165497,0.9417701271275251,0.21069881355350492,0.3090040683746338,0.8575906753540039,ok,
dna,2548,638,180,3,0.768025078369906,0.7472288700433403,0.5754501181868006,0.4975771903991699,4.409599781036377,ok,
eye_movements_bin,6086,1522,20,2,0.5551905387647832,0.5551580851481772,0.6887449214960888,0.3482997417449951,2.1500961780548096,ok,
gas-drift,11128,2782,128,6,0.9906542056074766,0.9906470287258134,0.07122810764267909,0.9768893718719482,14.750455617904663,ok,
jungle_chess_2pcs_raw_endgame_complete,35855,8964,6,3,0.783244087460955,0.749082990639849,0.5362161331448327,0.4057893753051758,21.540772676467896,ok,
mfeat-fourier,1600,400,76,10,0.5975,0.5711985805649671,1.4150271186699146,0.34836673736572266,1.3057782649993896,ok,
mfeat-karhunen,1600,400,64,10,0.6275,0.620349289892906,1.9079110548070697,0.44663476943969727,1.142160177230835,ok,
mfeat-morphological,1600,400,6,10,0.73,0.7256761497746473,0.5593364643398187,0.2803797721862793,0.3508272171020508,ok,
mfeat-zernike,1600,400,47,10,0.6125,0.5979613639036316,1.1007709061701043,0.318922758102417,0.9165756702423096,ok,
mice_protein_expression,864,216,75,8,0.8148148148148148,0.8160482881262892,1.307887920226772,0.33016133308410645,0.7385177612304688,ok,
microaggregation2,16000,4000,20,5,0.5605,0.40563596820292963,1.1173319200524006,0.39382243156433105,7.1986305713653564,ok,
one-hundred-plants-texture,1279,320,64,100,0.759375,0.7414197781385281,2.3724208770644095,0.3361032009124756,4.513027906417847,ok,
pc4,1166,292,37,2,0.8767123287671232,0.8253959450787136,0.26310070274026803,0.3032536506652832,0.6060323715209961,ok,
pol,8065,2017,26,2,0.9459593455627169,0.9459532079080482,0.16862318094631673,0.35233211517333984,3.499492645263672,ok,
sports_articles_for_objectivity_analysis,800,200,59,2,0.825,0.8241857364425458,0.440780156891811,0.3290281295776367,0.5755414962768555,ok,
statlog,800,200,20,2,0.69,0.609349593495935,0.5735930942882804,0.4478271007537842,0.3201255798339844,ok,
sylvine,4099,1025,20,2,0.7229268292682927,0.7229157524179071,0.5949854786671566,0.3177759647369385,1.4307341575622559,ok,
thyroid-ann,3017,755,21,3,0.9536423841059603,0.9425540483185257,0.11110732946457301,0.30831193923950195,1.1034514904022217,ok,
turiye_student_evaluation,4656,1164,32,5,0.5103092783505154,0.41416180456562246,1.2332343297394992,0.33664512634277344,2.0912024974823,ok,
waveform-5000,4000,1000,40,3,0.694,0.6921145514488982,0.9644075971395614,0.34876084327697754,2.094189405441284,ok,
