dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
dabetes_130-us_hospitals,81412,20354,20,2,0.5941338311879729,0.5359495224679353,0.6691149704337711,11.871310234069824,114.10865426063538,ok,
Wilt,3856,965,5,2,0.9533678756476683,0.9361452202214523,0.12660397960445433,0.3867945671081543,0.5685460567474365,ok,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1600,400,7,2,0.5675,0.4533819680766562,0.6732948663163757,0.305619478225708,0.3388381004333496,ok,
allrep,3017,755,29,4,0.9668874172185431,0.9506098512721028,0.15814067004778035,0.3149096965789795,1.23799729347229,ok,
banknote_authentication,1097,275,4,2,0.5527272727272727,0.39609963806685117,0.6891718163308711,0.28940463066101074,0.13280272483825684,ok,
churn,4000,1000,20,2,0.859,0.7957490877458567,0.3440449290203001,0.31342220306396484,1.376847505569458,ok,
dis,3017,755,29,2,0.9841059602649007,0.9762226014376786,0.0833442001684925,0.31498265266418457,1.2397372722625732,ok,
drug_consumption,1507,377,12,7,0.4005305039787798,0.23060847198778237,1.5144713436936776,0.2927243709564209,0.4197371006011963,ok,
dry_bean_dataset,10888,2723,16,7,0.8883584282041865,0.8882541778298726,0.3018801110353129,0.45490217208862305,3.9714503288269043,ok,
first-order-theorem-proving,4894,1224,51,6,0.5588235294117647,0.50629760809347,1.2132637233246972,0.4160003662109375,2.9866764545440674,ok,
heloc,8000,2000,22,2,0.6575,0.6572771444631872,0.6358579227532332,0.37660908699035645,3.1673173904418945,ok,
htru,14318,3580,8,2,0.979608938547486,0.9792134421991784,0.07370928250337855,0.36334657669067383,4.793001651763916,ok,
internet_usage,8086,2022,70,46,0.3283877349159248,0.1974216366328454,2.4906133076316608,0.5582492351531982,15.167615175247192,ok,
madeline,2512,628,259,2,0.4968152866242038,0.39432564661033226,0.6928691721264829,0.6172757148742676,6.22245192527771,ok,
mammography,8946,2237,6,2,0.9830129637907913,0.9796275559909892,0.04974125289344229,0.5048830509185791,1.729151964187622,ok,
maternal_health_risk,811,203,6,3,0.8177339901477833,0.8104086098915624,0.45085152781836746,0.31491851806640625,0.24835824966430664,ok,
mfeat-fourier,1600,400,76,10,0.5975,0.5859829381181108,1.6142155552475435,0.3803272247314453,1.3037323951721191,ok,
mfeat-morphological,1600,400,6,10,0.715,0.7046436770630319,0.5814572177894238,0.3130826950073242,0.3556361198425293,ok,
mfeat-zernike,1600,400,47,10,0.5875,0.5736354182203056,1.415135958170353,0.36205148696899414,0.9096698760986328,ok,
microaggregation2,16000,4000,20,5,0.5585,0.4008236160936413,1.1574249960746188,0.4373466968536377,7.245244026184082,ok,
one-hundred-plants-texture,1279,320,64,100,0.740625,0.7197179383116883,2.9436375995730537,0.3673410415649414,4.722429275512695,ok,
ozone-level-8hr,2027,507,72,2,0.9368836291913215,0.9063538164274496,0.20297659247026703,0.3827202320098877,1.5880467891693115,ok,
qsar,844,211,40,2,0.8530805687203792,0.8489369564298779,0.354838702074095,0.33873510360717773,0.49338817596435547,ok,
rl,3976,994,12,2,0.6649899396378269,0.6616334520846219,0.6166011288008431,0.3494391441345215,1.0886456966400146,ok,
seismic+bumps,2067,517,18,2,0.9342359767891683,0.9024719535783365,0.22804708707146407,0.47118115425109863,0.6514465808868408,ok,
splice,2552,638,60,3,0.7304075235109718,0.7048292350394387,0.5743353051646656,0.4193291664123535,1.785327434539795,ok,
telco-customer-churn,5634,1409,18,2,0.7778566359119943,0.765685094377106,0.4458736740010908,0.36961817741394043,1.9032492637634277,ok,
turiye_student_evaluation,4656,1164,32,5,0.44673539518900346,0.34011437515290116,1.3660417997737575,0.36621856689453125,2.0903804302215576,ok,
waveform-5000,4000,1000,40,3,0.741,0.7407770674008577,0.9292406506892391,0.37273406982421875,2.0486552715301514,ok,
