ckpt,ckpt_path,started_at,finished_at,total_wall_seconds,talent_avg_acc,talent_wall_seconds,talent_discovered_pairs,talent_processed_pairs,talent_failed_count,talent_missing_test_count
step-39200.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39200.ckpt,2026-02-07 16:53:42,2026-02-07 16:54:17,34.309000,(none),34.309,175,175,175,0
step-39250.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39250.ckpt,2026-02-07 16:54:18,2026-02-07 16:54:57,35.833000,(none),35.833,175,175,175,0
step-39300.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39300.ckpt,2026-02-07 16:54:57,2026-02-07 16:55:29,31.419000,(none),31.419,175,175,175,0
step-39350.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39350.ckpt,2026-02-07 16:55:29,2026-02-07 16:56:11,38.516000,(none),38.516,175,175,175,0
step-39400.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39400.ckpt,2026-02-07 16:56:11,2026-02-07 16:56:40,27.941000,(none),27.941,175,175,175,0
step-39450.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39450.ckpt,2026-02-07 16:56:40,2026-02-07 16:57:23,39.373000,(none),39.373,175,175,175,0
step-39500.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39500.ckpt,2026-02-07 16:57:24,2026-02-07 16:57:53,26.181000,(none),26.181,175,175,175,0
step-39550.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39550.ckpt,2026-02-07 16:57:53,2026-02-07 16:58:36,39.059000,(none),39.059,175,175,175,0
step-39600.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39600.ckpt,2026-02-07 16:58:36,2026-02-07 16:59:09,28.728000,(none),28.728,175,175,175,0
step-39650.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39650.ckpt,2026-02-07 16:59:09,2026-02-07 16:59:53,40.413000,(none),40.413,175,175,175,0
step-39700.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39700.ckpt,2026-02-07 16:59:54,2026-02-07 17:00:24,26.941000,(none),26.941,175,175,175,0
step-39750.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39750.ckpt,2026-02-07 17:00:24,2026-02-07 17:01:07,39.681000,(none),39.681,175,175,175,0
step-39800.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39800.ckpt,2026-02-07 17:01:07,2026-02-07 17:01:39,27.289000,(none),27.289,175,175,175,0
step-39850.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39850.ckpt,2026-02-07 17:01:39,2026-02-07 17:02:23,39.420000,(none),39.420,175,175,175,0
