dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
customer_satisfaction_in_airline,103904,25976,21,2,0.5473129042192794,0.38718919012193637,0.6983945677575464,12.363490581512451,175.44918990135193,ok,
online_shoppers,9864,2466,14,2,0.8450932684509327,0.7741425808579093,0.47263241112354903,0.4798898696899414,3.2646188735961914,ok,
phoneme,4323,1081,5,2,0.7067530064754857,0.585321731108153,0.6393402277703862,0.34515881538391113,0.639960527420044,ok,
rice_cammeo_and_osmancik,3048,762,7,2,0.5721784776902887,0.4164771557144672,0.6720124463920057,0.31067681312561035,0.67732834815979,ok,
satimage,5144,1286,36,6,0.23483670295489892,0.09471438599915973,1.7302860415206964,0.35674047470092773,2.489715099334717,ok,
steel_plates_faults,1552,389,27,7,0.20051413881748073,0.06698116842725266,1.9257232480364077,0.30226922035217285,0.6409432888031006,ok,
taiwanese_bankruptcy_prediction,5455,1364,95,2,0.967741935483871,0.9518773135906928,0.23181285646411942,0.502025842666626,5.355921745300293,ok,
website_phishing,1082,271,9,3,0.5166051660516605,0.3519451252906689,0.939894877448419,0.2947227954864502,0.2900848388671875,ok,
wine,2043,511,4,2,0.512720156555773,0.36197896270771446,0.691738766198622,0.38959813117980957,0.20760154724121094,ok,
yeast,1187,297,8,10,0.31313131313131315,0.14933954933954935,2.2593276715070014,0.3125033378601074,0.3072185516357422,ok,
