dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
volkert,46648,11662,180,10,0.436889041330818,0.3271418898058082,1.603922666095618,14.260091781616211,102.24860882759094,ok,
KDDCup09_upselling,4102,1026,49,2,0.7387914230019493,0.7387666068768431,0.5759372132053305,0.4937558174133301,2.407390832901001,ok,
Mobile_Price_Classification,1600,400,20,4,0.63,0.6267443065254781,1.0011508023957902,0.3392763137817383,0.5575268268585205,ok,
PieChart3,861,216,37,2,0.875,0.8166666666666667,0.3029276606025249,0.3564767837524414,0.4716837406158447,ok,
Pima_Indians_Diabetes_Database,614,154,8,2,0.7337662337662337,0.7236747438378277,0.47561969597679526,0.32433438301086426,0.19873738288879395,ok,
PizzaCutter3,834,209,37,2,0.8803827751196173,0.8243787817913973,0.2886954356228395,0.32666921615600586,0.45865392684936523,ok,
QSAR_biodegradation,843,211,41,2,0.8436018957345972,0.8374428646656135,0.34574942180196805,0.3090944290161133,0.4883444309234619,ok,
Satellite,4080,1020,36,2,0.9911764705882353,0.9893053803988162,0.035055798717049544,0.3366084098815918,1.9584479331970215,ok,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1600,400,7,2,0.5525,0.4037138099919406,0.6816468935838749,0.28277587890625,0.3393702507019043,ok,
allrep,3017,755,29,4,0.9695364238410596,0.9560125374802086,0.10420676772062727,0.4412672519683838,1.2549166679382324,ok,
baseball,1072,268,16,3,0.9477611940298507,0.9343675938356081,0.1536393997793515,0.29126739501953125,0.3681979179382324,ok,
company_bankruptcy_prediction,5455,1364,95,2,0.968475073313783,0.9536657863061864,0.09637724845672126,0.5027456283569336,5.360950708389282,ok,
electricity,36249,9063,8,2,0.7821913273750414,0.7789070361544186,0.45679512591957305,0.45090198516845703,22.714064598083496,ok,
led24,2560,640,24,10,0.709375,0.7020824827359199,0.9501576328678676,0.3020439147949219,0.9307858943939209,ok,
led7,2560,640,7,10,0.7359375,0.7319929238512879,0.813735008662557,0.28121232986450195,0.5637235641479492,ok,
letter,16000,4000,15,26,0.8715,0.8714710895870387,0.6394876636972353,0.39055466651916504,19.149407386779785,ok,
mozilla4,12436,3109,4,2,0.8871019620456738,0.887496710384189,0.28294591433746935,0.2922627925872803,1.7413694858551025,ok,
national-longitudinal-survey-binary,3926,982,16,2,0.9175152749490835,0.9166801332726482,0.21391452599524474,0.3058769702911377,1.24957275390625,ok,
one-hundred-plants-margin,1280,320,64,100,0.740625,0.7298301351426351,2.1592392828761104,0.48029160499572754,4.354459285736084,ok,
online_shoppers,9864,2466,14,2,0.8775344687753447,0.8515435640928286,0.27517244677014385,0.33209943771362305,3.272085189819336,ok,
pc1,887,222,21,2,0.9324324324324325,0.8998298998298998,0.19189705176494884,0.29222798347473145,0.36026716232299805,ok,
pc4,1166,292,37,2,0.8732876712328768,0.8174100323057274,0.272010504533491,0.30225563049316406,0.5985207557678223,ok,
pol,8065,2017,26,2,0.9603371343579573,0.960336939371272,0.12435922325359412,0.35236620903015137,3.48598313331604,ok,
sports_articles_for_objectivity_analysis,800,200,59,2,0.79,0.788670160497871,0.46443341708079444,0.319913387298584,0.5643346309661865,ok,
sylvine,4099,1025,20,2,0.8575609756097561,0.8575601621497037,0.3822502132903,0.3109750747680664,1.4237079620361328,ok,
thyroid-ann,3017,755,21,3,0.9602649006622517,0.9507491758536161,0.10642279112917225,0.2986867427825928,1.1101927757263184,ok,
twonorm,5920,1480,20,2,0.975,0.974999965759663,0.06667152887075103,0.3228631019592285,2.084014654159546,ok,
waveform_database_generator,3999,1000,21,3,0.344,0.2410300180127926,1.0989112251747324,0.46181225776672363,1.433260202407837,ok,
yeast,1187,297,8,10,0.569023569023569,0.5560217540232868,1.1454671537271937,0.2797703742980957,0.31148505210876465,ok,
